package_name,download_count
azure-mgmt-containerregistry,6280060
geopandas,4072635
geopy,3839693
geographiclib,3837478
geoip2,3810900
pygeohash,1967721
geomet,1624809
keyrings-google-artifactregistry-auth,1489880
geojson,979810
geoalchemy2,519559
geocoder,483782
python-geohash,384965
geoip2-tools,356825
pgeocode,309984
azure-schemaregistry,263784
python-schema-registry-client,262564
reverse-geocoder,235421
azure-schemaregistry-avroserializer,210555
pygeos,189056
torch-geometric,178971
geohash2,133655
pygeoif,124902
geog,115357
google-cloud-artifact-registry,114314
kml2geojson,100678
djangorestframework-gis,99488
opengeode-core,98707
arcgis2geojson,98033
geolib,95238
types-geoip2,92293
pygeoip,89258
geode-common,84640
azure-containerregistry,78188
geohash,78032
reverse-geocode,74939
geonamescache,74443
mygeotab,70078
django-registration,69918
geohashlite,69667
arcgis,63944
bioregistry,55383
geode-backgroundmesh,55244
pygeocodio,54982
maxminddb-geolite2,53424
geojson-pydantic,52809
geode-simplexremesh,49535
python-geoip,49221
geospark,48969
geotext,46650
class-registry,45016
pygeotile,42717
pygeodesy,40600
python-geoip-geolite2,40540
geode-conversion,40069
dask-geopandas,37120
xtgeo,36422
polygon-geohasher,35705
itk-registration,33280
robotframework-pageobjectlibrary,32062
opengeode-io,31292
pybind11-geobuf,29537
django-registration-redux,27436
winregistry,23398
opengeode-geosciences,23006
python-registry,22402
ip2geotools,22045
aegis-tools,21942
opengeode-geosciencesio,20951
c2cgeoform,20252
geode-implicitmodeling,19827
c2cgeoportal-admin,19763
censusgeocode,19735
rio-cogeo,19696
azure-schemaregistry-avroencoder,19634
geode-parameterization,19461
python-geoip-python3,19451
c2cgeoportal-commons,19315
c2cgeoportal-geoportal,17693
ladybug-geometry,17648
opengeode-inspector,17567
geode-explicitmodeling,17122
geoip,16891
spherical-geometry,16639
pygeoj,16107
torchgeometry,15840
geonetworkx,15176
postgis,15150
aws-cdk-aws-servicecatalogappregistry,15127
sharingiscaring,14892
plone-app-registry,14823
opengeode-core-geode,14794
ladybug-geometry-polyskel,14733
geobuf,14181
phx-class-registry,14146
geos,13829
mypy-boto3-servicecatalog-appregistry,13494
products-mimetypesregistry,13118
pygeodiff,12657
products-pluginregistry,12456
geomdl,12376
plone-registry,12282
geojson-rewind,12053
django-geojson,12001
libgeohash,11658
aws-glue-schema-registry,11434
geonode,11085
botocore-a-la-carte-servicecatalog-appregistry,10987
botocore-a-la-carte-sagemaker-geospatial,10833
django-rest-registration,10784
pygeocoder,10665
geovoronoi,10418
via-hub-logistc,10348
scikit-spatial,10291
wsgiserver,9890
aws-cdk-aws-servicecatalogappregistry-alpha,9865
shapely-geojson,9861
r53-register,9768
cogeo-mosaic,9576
geode-simplexremeshgeosciences,9455
geolinks,9380
gisdata,9351
lsst-sphgeom,9068
geonode-avatar,8867
s2geometry,8847
geoserver-restconfig,8771
odc-geo,8749
geonode-user-messages,8125
geonode-announcements,7918
adafruit-circuitpython-register,7873
geopix,7844
geonode-oauth-toolkit,7650
geocube,7586
geoparse,7437
geo-espresso,7147
hagis,7053
geode-viewableobjects,7028
osgeo,7016
geopyspark,7011
axisregistry,6929
geonode-django-activity-stream,6903
plpygis,6849
geohash-hilbert,6807
geoviews,6706
registrable,6686
nagisa,6439
python-geoacumen,6434
spatialmath-python,6311
georaptor,6305
vt2geojson,6163
zope-vocabularyregistry,6097
geomloss,5977
geopip,5970
geoplot,5729
geode-background,5654
python-geoip-geolite2-yplan,5601
pygeodesic,5582
plotly-geo,5536
open-geodata,5513
osm2geojson,5410
python-geoacumen-city,5334
pygeoprocessing,5323
geode-simplex,5275
django-geoposition,5273
wagtailgeowidget,5270
pydantic-geojson,5201
py-geohex3,5182
spatialite,5143
spatialcluster,4970
docker-registry-client,4969
geobeam,4951
aio-geojson-client,4901
zope-principalregistry,4825
cognite-geospatial-sdk,4628
marshmallow-geojson,4525
lib-registry,4460
geode-numerics,4403
pygeofilter,4352
pigeonxt-jupyter,4289
napari-roi-registration,4261
python-geotiepoints,4253
napari-geojson,4208
spatialgeometry,4160
use-case-registry,4155
reverse-geocoder-whl,4109
regis,4026
aio-georss-client,4026
napari-spatial-omics,3978
govuk-country-register,3961
mypy-boto3-sagemaker-geospatial,3906
django-geonode-mapstore-client,3881
geoalchemy,3830
napari-spatialdata,3825
solaredgeoptimizers,3787
c2cgeoportal,3783
mtgeo,3776
eventregistry,3743
geosketch,3727
autoregistry,3674
segment-geospatial,3586
ckanext-geodatagov,3562
geode-hybridremesh,3560
pygeoda,3550
geobr,3535
aio-geojson-geonetnz-quakes,3502
napari-sift-registration,3486
geotorch,3475
clogistic,3472
geopytool,3464
cloudcomponents-cdk-container-registry,3444
georss-client,3399
geoserver-rest,3394
geodesic-api,3388
xarray-spatial,3359
georgio,3326
geode-ml,3286
geofileops,3278
pygeogrids,3256
csv2geojson,3250
geobasesdev,3225
torch-geometric-temporal,3212
pandas-geojson,3208
python-geoip-yplan,3203
geomapdemo,3186
edc-registration,3136
aio-geojson-geonetnz-volcano,3110
aio-georss-gdacs,3091
kafka-schema-registry,3011
geosoup,2922
jupyterlab-geojson,2917
aio-geojson-nsw-rfs-incidents,2876
hpgeom,2875
geode-explicit,2859
geostat,2852
eo-learn-geometry,2836
spatialpandas,2834
georss-ign-sismologia-client,2818
geoh5py,2816
django-graphql-geojson,2812
georss-generic-client,2798
python-googlegeocoder,2783
ssb-sgis,2769
geoarray,2733
eventgeometry,2722
hypothesis-geometry,2720
geotiff,2713
pygeobase,2697
torchgeo,2677
georss-qld-bushfire-alert-client,2675
django-geojson-serializer,2674
geometric,2672
geograpy3,2655
georasters,2654
gisic,2652
geomstats,2638
geomag,2562
geonode-dialogos,2523
geobases,2520
py-geohash-any,2485
bridgeobjects,2479
cardiac-geometries,2478
geojsoncontour,2475
geonomics,2416
qgis-plugin-ci,2386
products-resourceregistries,2359
regisoup,2353
django-geonode-client,2335
odoo-addons-oca-stock-logistics-warehouse,2315
georinex,2306
d-geolib,2305
geodata,2281
geojsplit,2260
geofinder,2245
geode-mymodule,2235
george,2200
raster-geometry,2183
geostatspy,2179
qgis-deployment-toolbelt,2172
geomapi,2166
spatial-transform,2153
geodaisy,2151
pygismeteo-base,2134
geobases3k,2134
graphene-gis,2122
aio-geojson-generic-client,2105
py4dgeo,2086
odoo-addons-oca-stock-logistics-workflow,2077
aristotle-metadata-registry,2072
geopyv,2069
tf-geometric,2068
gispython,2061
eo-learn-coregistration,2054
uwgeodynamics,2045
wasabi-geom,2036
geobasespypy,2024
spatialtis-core,2022
spatialcsv,2020
jageocoder,2015
pyrogis,1999
django-geoexplorer,1997
django-geoposition-2,1995
spatial-access,1994
pvgeo,1985
opengeode,1981
geosoupml,1979
geom-median,1962
django-admin-geomap,1960
georaster,1954
yandex-geocoder,1953
pygeoogc,1949
pygeoutils,1940
geocurrency,1940
odoo-addon-base-location-geonames-import,1938
italy-geopop,1931
isogeo-pysdk,1929
gemgis,1925
aio-geojson-usgs-earthquakes,1924
orange3-geo,1923
geocat-f2py,1911
extra-geom,1882
geode-implicit,1876
geoapps,1855
cirrus-geo,1854
geode-hybrid,1842
geoformat,1840
haggis,1840
geocachingapi,1836
pyramids-gis,1833
geode-viewables,1811
geode-simplexgeosciences,1799
django-rgd-geometry,1761
hdx-scraper-geonode,1756
python-geofs,1739
odoo14-addons-oca-stock-logistics-warehouse,1721
pyrsgis,1705
geonames,1699
pygeometa,1685
geolink-formatter,1680
aipha-geo-solutions,1671
onnx-graphsurgeon,1662
geojson-utils,1659
geoana,1654
django-geoip2-extras,1654
component-registry-bindings,1621
geoprepare,1599
geospace,1585
file-registry,1585
gistools,1578
cv2geojson,1572
peek-plugin-gis-diagram,1571
dynamodbgeo,1567
geoanalytics,1554
furiosa-registry,1553
dask-geomodeling,1552
ansys-api-geometry,1534
geospatial,1532
stem-registration,1525
django-geostore,1524
dungeon-eos,1520
django-terra-geocrud,1515
ocdsextensionregistry,1513
geo-py,1503
