package_name,download_count
azure-mgmt-containerregistry,6825571
geoip2,4879202
geopy,3403484
geographiclib,3318880
geopandas,2324914
pygeohash,1951057
geomet,1286927
geojson,899955
geoalchemy2,451854
geocoder,409082
geoip2-tools,398360
python-geohash,311986
reverse-geocoder,258509
keyrings-google-artifactregistry-auth,248529
azure-schemaregistry,235145
azure-schemaregistry-avroserializer,229363
pgeocode,213449
pygeoif,198075
kml2geojson,191888
pygeos,173227
pygeotile,169981
geog,139365
pygeocodio,130973
geohash,125669
class-registry,118579
geohash2,112394
pygeoip,102628
djangorestframework-gis,96816
geolib,91865
opengeode-core,90051
geode-common,83394
python-schema-registry-client,83140
python-geoip,79933
geospark,78470
torch-geometric,71700
python-geoip-geolite2,70008
geonamescache,69415
xtgeo,53305
geos,51822
arcgis,51606
geohashlite,48517
geode-backgroundmesh,48157
django-registration,47591
maxminddb-geolite2,42628
vt2geojson,41802
itk-registration,39954
polygon-geohasher,39710
geoip,39153
geotext,38218
reverse-geocode,36375
phx-class-registry,35608
types-geoip2,34129
pygeodesy,33580
c2cgeoportal-admin,32115
mygeotab,31576
geode-simplexremesh,31410
c2cgeoportal-commons,31222
c2cgeoform,31034
c2cgeoportal-geoportal,30531
georaptor,30291
bioregistry,29154
pygeoj,27796
geode-conversion,25192
wsgiserver,25048
robotframework-pageobjectlibrary,24508
geojson-pydantic,23306
libgeohash,22937
django-registration-redux,22794
opengeode-io,21546
mypy-boto3-servicecatalog-appregistry,21380
pygeodesic,20523
ladybug-geometry,19201
aws-cdk-aws-servicecatalogappregistry,18935
r53-register,18705
geode-parameterization,18217
spatial-access,16960
nagisa,16681
geopyspark,16241
pygeocoder,16207
ip2geotools,16204
azure-containerregistry,16008
ladybug-geometry-polyskel,15767
zope-vocabularyregistry,15213
opengeode-geosciencesio,14941
aegis-tools,14761
opengeode-geosciences,14752
rio-cogeo,13649
python-geoip-python3,12831
zope-principalregistry,12715
censusgeocode,12637
geoviews,12621
py-geohex3,12526
python-registry,12525
geonode,11923
spherical-geometry,11864
pygeodiff,11742
geobuf,11261
scikit-spatial,11176
gis,10443
torchgeometry,10380
google-cloud-artifact-registry,10113
django-rest-registration,10054
open-geodata,10009
geoplot,9888
geomdl,9886
plone-app-registry,9641
django-geojson,9456
geoserver-restconfig,8954
aio-geojson-client,8853
aio-georss-client,8414
products-mimetypesregistry,8343
geojson-rewind,8322
plotly-geo,8318
spatialprofilingtoolbox,8241
gisdata,8226
geonode-avatar,8216
geonode-user-messages,8183
mtgeo,8069
geolinks,7959
geonode-oauth-toolkit,7806
s2geometry,7745
pygeoprocessing,7677
products-pluginregistry,7671
geonode-announcements,7643
geonode-dialogos,7511
geomag,7444
plone-registry,7429
geomeppy,7414
pygeoda,7376
aio-georss-gdacs,7275
geonode-django-activity-stream,7114
geojson-client,7110
geode-simplexremeshgeosciences,7106
aio-geojson-geonetnz-quakes,7105
wasabi-geom,6824
aio-geojson-geonetnz-volcano,6707
geospatial,6598
django-geoposition,6541
aio-geojson-nsw-rfs-incidents,6536
georss-client,6502
c2cgeoportal,6345
postgis,6324
adafruit-circuitpython-register,6314
georss-generic-client,6273
georss-ign-sismologia-client,6225
osm2geojson,6159
georss-qld-bushfire-alert-client,6127
docker-registry-client,6104
lib-registry,6055
django-rgd-geometry,5977
cloudcomponents-cdk-container-registry,5916
geoparse,5907
django-geonode-mapstore-client,5771
python-geoip-geolite2-yplan,5606
python-geoacumen,5503
geostring,5404
dask-geopandas,5297
python-geoacumen-city,5161
geohash-hilbert,5161
geotiff,5046
spatialpandas,5022
osgeo,5015
opengeode-core-geode,4978
geopytool,4953
shapely-geojson,4952
spatialcluster,4929
geode-explicitmodeling,4901
flashgeotext,4895
geograpy3,4860
aws-cdk-aws-servicecatalogappregistry-alpha,4831
opengeode-inspector,4814
arcgis2geojson,4795
cognite-geospatial-sdk,4757
hypothesis-geometry,4719
django-geoip,4684
py-geohash-any,4653
geosoup,4247
geovoronoi,4201
georgio,4160
spatialtis-core,4147
geofeather,4127
python-geotiepoints,4076
geofileops,4065
geoarray,4002
geobasesdev,3969
geosky,3968
geoserver-rest,3921
pygeogrids,3889
pigeonview,3864
pyrogis,3848
eventgeometry,3756
geofinder,3688
pierogis,3625
gisic,3526
typepigeon,3498
cogeo-mosaic,3451
pvgeo,3450
aristotle-metadata-registry,3449
ziggeo,3440
geocurrency,3425
geobases,3410
pangeo-forge-recipes,3365
xarray-spatial,3351
geojsoncontour,3333
geodata,3314
torch-geometric-temporal,3272
geosnap,3258
geoalchemy,3240
geosoupml,3205
geonomics,3198
products-resourceregistries,3175
aws-glue-schema-registry,3158
register-printer,3131
georasters,3103
geospatial-ml,3098
geojson-utils,3067
spatialmath-python,3027
ocdsextensionregistry,2979
axisregistry,2960
bridgeobjects,2915
geode-implicitmodeling,2912
file-registry,2884
pygeoutils,2881
pygeobase,2877
eventregistry,2877
winregistry,2838
docker-registry-client-async,2816
geocube,2788
pyrsgis,2788
dune-geometry,2770
geobases3k,2734
py4dgeo,2706
uwgeodynamics,2694
geomstats,2660
geography,2654
gispython,2652
isogeo-pysdk,2650
plpygis,2622
tf-geometric,2615
pygeoogc,2600
marshmallow-geojson,2594
wagtailgeowidget,2591
django-terra-geocrud,2583
geobasespypy,2565
onegov-gis,2517
geopip,2459
geo3d,2456
python-googlegeocoder,2428
geometric,2383
odoo14-addons-oca-stock-logistics-warehouse,2374
geographica-longitude-async,2371
geoglows,2331
korean-geocoding,2324
django-geoposition-2,2294
george,2293
odc-geo,2278
django-gisserver,2274
aio-geojson-generic-client,2265
eo-learn-geometry,2260
hdx-scraper-geonode,2255
geoapps,2248
gists-py,2242
sregistry,2234
geoformat,2233
property-price-register,2216
geobr,2214
qgis-plugin-ci,2213
wsgiservice,2139
spatialite,2136
geoedfengine,2111
stem-registration,2099
edc-registration,2081
geoana,2069
spatial-index,2040
geospacelab,2039
geosketch,2030
gistools,2024
pyramid-georest,2000
pogeo,1999
geostatspy,1997
aioregistry,1995
geolink-formatter,1993
graphene-gis,1983
places-geocode,1977
geoh5py,1952
cubicweb-geocoding,1951
oe-geoutils,1938
cubicweb-registration,1931
imageobjects,1890
aa-geo-tools,1887
aio-geojson-flightairmap,1883
django-graphql-geojson,1867
django-geoexplorer,1866
georss-ingv-centro-nazionale-terremoti-client,1862
pygeohydro,1829
eea-geotags,1826
fast-registry,1825
georinex,1811
jupyterlab-geojson,1809
peek-plugin-gis-diagram,1808
python-gist,1803
apicurioregistryclient,1800
heaserver-registry,1796
matrix-registration,1794
geometry3d,1776
registrable,1757
geometron,1756
geoanalytics,1741
abba-qupath-registrationexporter,1737
legistream-backend,1730
odoo14-addons-oca-stock-logistics-workflow,1728
geo-alchemy,1723
svgis,1722
docker-registry-driver-jss,1718
geomloss,1712
opengeode,1706
constructive-geometries,1698
eo-learn-coregistration,1688
geonetworkx,1679
flask-simple-geoip,1675
geonames,1670
epl-geometry,1663
geotagging-alexr96,1654
kagiso-django-auth,1646
odoo11-addons-oca-stock-logistics-warehouse,1615
register,1610
kodexa-spatialkit,1601
pygeode,1593
django-geonode-client,1591
orange3-geo,1578
di-registry,1578
soorgeon,1577
georideapilib,1574
geopackage-python,1573
geosardine,1572
geojson-to-sqlite,1567
registryquery,1559
pageobject,1557
changeo,1549
geosolution,1534
geoplotlib,1531
django-geostore,1527
gemgis,1525
geoip2-data,1512
mzgeohash,1506
dm-robotics-geometry,1503
extra-geom,1498
censusbatchgeocoder,1494
mmmint-registration-recognition,1488
pigeonxt-jupyter,1487
geometer,1485
herpetologist,1473
georaster,1465
geocat-f2py,1463
geotime-classify,1461
spatialist,1461
spatial-image,1454
dungeonsheets,1448
geographica-longitude,1441
gromologist,1438
geoliberator,1431
odoo12-addons-oca-stock-logistics-warehouse,1431
politico-civic-geography,1410
pypigeonhole-build,1400
heligeo,1392
registryaggregator,1383
simple-geoip,1376
pytest-docker-registry-fixtures,1376
django-geoip2-extras,1373
configuration-registry,1364
odoo13-addons-oca-stock-logistics-workflow,1347
matrix-registration-bot,1345
geodesic-api,1342
shuttl-geo,1333
dungeon-eos,1327
geokey,1319
python-omgeo,1318
metalogistic,1315
pygeoapi,1311
cpc-geofiles,1305
esgissue-client,1294
gisansexplorer,1282
torchgeo,1276
cirrus-geo,1274
cubicweb-postgis,1271
gitlab-registry-usage,1261
cimren-wkmeans-geo,1253
haggis,1251
geocat-comp,1245
govuk-country-register,1244
geologicaltoolbox,1240
geoapidata,1226
spatial-kwd,1218
geodataset,1215
spatial-analysis-toolkit,1212
gisaxs-xpcs,1210
django-inspectional-registration,1205
trongispy,1203
geocachingapi,1194
pandas-geojson,1193
spatial-correlation-sampler,1188
qt-wsi-registration,1183
pdok-geopackage-validator,1182
pygeopack,1180
geobeam,1178
cst-geometry,1178
torch-geometric-signed-directed,1162
geotolktools,1153
cpc-geoplot,1153
geoparsepy,1152
tif2geojson,1148
pygeofilter,1141
gbmgeometry,1140
geoio,1136
ctregistermicroserviceflask,1126
simplegeomap,1120
geonum,1119
upstream-ontologist,1117
django-registry,1111
pytest-qgis,1110
odoo12-addon-delivery-carrier-label-postlogistics,1106
itk-twoprojectionregistration,1099
django-munigeo,1097
forest-gis,1096
odoo10-addons-oca-stock-logistics-warehouse,1096
hspatial,1087
geomac-wildfires,1084
geospock-cli,1083
odoo11-addons-oca-stock-logistics-workflow,1080
qigeometry,1079
geograpy,1075
mz2geohash,1069
spatialgeometry,1066
python-geosupport,1064
geojson2imdf,1055
odoo9-addon-delivery-carrier-label-postlogistics,1055
pageone,1054
dask-geomodeling,1052
boundlessgeo-schema,1050
dungeongenerator,1049
pygeometry,1048
odoo9-addons-oca-stock-logistics-warehouse,1047
gis-utils,1045
core-main-registry-app,1043
geoopt,1042
arcgis-sdk,1041
frictionless-geojson,1039
core-explore-keyword-registry-app,1034
geoget,1031
pangeo-xesmf,1023
odoo13-addons-oca-stock-logistics-warehouse,1022
georss-emsc-csem-earthquakes-client,1021
geoindex,1020
c4sfcensusgeocoder,1016
odoo12-addons-oca-stock-logistics-workflow,1012
core-dashboard-registry-app,1009
gongish,1001
geotorch,999
core-module-status-registry-app,998
infi-registry,994
geosoft,994
geocode-sqlite,990
isogeo-scan-metadata-processor,989
django-geosource,988
pygeometa,987
geodataextent,987
odoo-addon-base-location-geonames-import,985
geotiler,982
histcensusgis,979
core-module-local-id-registry-app,978
core-curate-registry-app,977
core-module-fancy-tree-registry-app,973
geojsonio,969
geofront,969
runregistry,967
gecosistema-spatial,963
surgeo,960
2gis,957
dewloosh-geom,954
fake-geo-images,954
cincan-registry,953
kerrgeodesic-gw,950
django-geoipdb-loader,945
bmi-arcgis-restapi,942
geofound,942
sparkgeo-awscdk-construct-lib,939
geobinning,936
rciam-federation-registry-agent,934
coordgeompy,930
geomagpy,929
django-geolocation-fields,927
django-geoexplorer-worldmap,925
ibm-container-registry,924
geodesicdome,920
geotable,912
django-tasker-geobase,911
aiocogeo,906
terralabgeoapi,905
pydantic-geojson,903
geofiles,901
django-email-registration,901
mesa-geo,896
orange3-geo-fork,891
pygeostat,888
ipregistry,888
geode-gem,886
gistory,881
geodistk,878
odoo-addons-oca-stock-logistics-warehouse,877
casepropods-family-connect-registration,874
spatialde,872
geodepy,869
django-codenerix-geodata,863
geonode-extract,861
geometry,859
robotframework-pageobjects,856
odoo10-addons-oca-stock-logistics-workflow,856
pypika-gis,855
acdh-django-geonames,854
thunder-registration,852
gitlab-registry-usage-rest,848
os-package-registry,847
azure-schemaregistry-avroencoder,846
django-arcgis-marketplace,835
geomdl-cli,833
reegis,833
pubgis,828
ip2geotools-locator,828
types-aiobotocore-servicecatalog-appregistry,828
yandex-geocoder,827
made-ai-dungeon,827
spatialnc,823
geofred,820
friendly-data-registry,820
bakers-registry,819
docker-registry-driver-qiniu,812
anygeojson,805
django-geo-db,802
eralegis,800
rgeocoder,786
onnx-graphsurgeon,786
geoai-gdal,785
odoo9-addons-oca-stock-logistics-workflow,785
geopack,780
geo-to-hca,778
geo-nuuuwan,775
jageocoder,772
pygeometry-z6,771
odoo8-addon-delivery-carrier-label-postlogistics,769
gis-metadata-parser,769
geoenrich,767
geobrickscommon,761
geojson-transformer,761
polygeohasher,756
pythongists,753
django-geo-spaas,750
spatial-image-multiscale,750
legislice,749
collective-geolocationbehavior,747
t2geores,747
geode-moduletemplate,746
geobricksrastercorrelation,745
geolocation-python,744
weightgis,743
geometric-vector-perceptron,735
geometrout,735
django-geonames-place,732
gismo,731
geodaisy,730
ip-geolocation-api,728
ucla-geotech-tools-random-field,726
kagiso-image,726
scigeo,723
registry,722
