package_name,download_count
geopy,174717
geoip2,142916
python-geohash,128987
azure-mgmt-containerregistry,63284
geographiclib,57474
geojson,46986
geocoder,33799
geohash,31520
pygeoip,25042
pygeocoder,24454
c2cgeoform,21578
geopandas,20239
geoalchemy2,16555
reverse-geocoder,16133
jupyter-notebook-gist,12258
djangorestframework-gis,10853
geoip,10787
django-registration,8762
django-registration-redux,8357
maxminddb-geolite2,7367
python-geoip,6307
geopython,6226
geopytool,6205
geonode,6060
python-geoip-geolite2,5897
c2cgeoportal,5736
geoh,5372
pygeoif,4386
geohash2,3900
products-resourceregistries,3778
geobasesdev,3322
django-geoposition,3274
robotframework-pageobjectlibrary,3188
pygeoprocessing,3148
plone-app-registry,3069
django-geoexplorer,3060
pygeodesy,2921
reverse-geocode,2909
geomet,2790
georaptor,2680
dungeonsheets,2660
products-mimetypesregistry,2519
geobases,2507
pogeo,2501
pyramid-georest,2451
py-geohex3,2426
docker-registry-driver-jss,2349
rpm-confluent-schemaregistry,2275
flask-geoip,2239
odoo9-addons-oca-stock-logistics-warehouse,2161
gitlab-registry-usage,2137
django-geojson,2117
georasters,2112
geobases3k,2058
odoo10-addons-oca-stock-logistics-warehouse,2053
python-geoip-geolite2-yplan,2026
geoarray,1951
django-geonode-client,1948
geonode-user-messages,1944
zope-principalregistry,1925
kagiso-django-auth,1915
eea-geotags,1854
geobasespypy,1852
geomeppy,1791
plone-registry,1751
gisdata,1672
svgis,1627
oe-geoutils,1614
odoo9-addons-oca-stock-logistics-workflow,1601
geoana,1601
eventregistry,1600
python-registry,1584
pageobject,1574
itk-registration,1544
class-registry,1535
sregistry,1505
geokey,1486
wsgiserver,1479
products-pluginregistry,1468
python-omgeo,1453
configuration-registry,1445
odoo10-addons-oca-stock-logistics-workflow,1432
geoio,1411
geonode-announcements,1403
mygeotab,1378
django-inspectional-registration,1354
pageone,1349
geonode-avatar,1339
geobaza,1331
geos,1330
django-registry,1307
geoalchemy,1302
esgissue-client,1296
gitlab-registry-usage-rest,1275
odoo9-addon-delivery-carrier-label-postlogistics,1265
onegov-gis,1263
geoparse,1253
cpc-geofiles,1243
odoo8-addons-oca-stock-logistics-warehouse,1231
django-geoip,1229
geonode-dialogos,1216
isogeo-pysdk,1208
censusbatchgeocoder,1194
mzgeohash,1192
python-gist,1188
uwgeodynamics,1182
geonames-rdf,1180
opengeode,1176
geonode-agon-ratings,1168
geonode-user-accounts,1156
pygeocodio,1136
c2cgeoportal-commons,1132
c2cgeoportal-geoportal,1132
geolinks,1114
geonode-extract,1100
c2cgeoportal-admin,1092
docker-registry-driver-qiniu,1061
nd-service-registry,1057
odoo11-addons-oca-stock-logistics-warehouse,1043
infi-registry,1039
geomdl,1036
django-graphql-geojson,1028
pygeohash,1028
django-rest-registration,1019
django-geo-db,998
aristotle-metadata-registry,990
fdgis,986
cpc-geoplot,968
pygeometry,953
geonamescache,942
gistory,933
odoo8-addon-delivery-carrier-label-postlogistics,912
django-socialregistration,912
get-gisty,900
robotframework-pageobjects,897
registry,879
geotext,864
ctregistermicroserviceflask,840
geolocation-python,837
pygeode,837
geonode-arcrest,828
pubgis,824
arcgis-sdk,817
docker-registry-client,806
geolink-formatter,805
geomstats,790
django-arcgis-marketplace,790
geotweet,782
fgdb2postgis,776
pygeogrids,775
pygeobase,773
geotecha,770
wagtailgeowidget,757
django-registration-email,750
fabgis,744
politico-civic-geography,742
constructive-geometries,742
jinja2-registry,738
gister,734
geofluent,732
geofront-cli,726
odoo8-addon-base-geoengine-demo,725
pylm-registry,718
geographica-longitude,717
pygeotile,709
figgis,707
django-geo,704
zope-vocabularyregistry,701
kagiso-smart-404,697
boundlessgeo-schema,693
censusgeocode,687
py-register-machine2,674
geoshape,674
orange3-geo,673
docker-registry-driver-joyent-manta,668
geograpy,664
geofront,660
ztfy-geoportal,657
kml2geojson,655
django-codenerix-geodata,653
geokey-sapelli,646
magistral,644
odoo10-addons-oca-stock-logistics-barcode,643
kagiso-image,638
arcgis2geojson,633
collective-geo-mapwidget,631
nautilus-registry,630
qgiscommons,624
geoplotlib,619
geofound,614
odoo9-addon-base-location-geonames-import,614
arcgis,612
larpix-geometry,609
odoo8-addon-geoengine-geoname-geocoder,609
pgist,609
casepropods-family-connect-registration,603
pelican-gist,600
odoo8-addon-base-geoengine,598
simplegeo,595
wsgiservice,594
geotiler,592
geo-pass,588
odoo8-addons-oca-stock-logistics-workflow,584
changeo,583
postgis,583
python-gist-note,583
geoiojpg,579
os-package-registry,578
picogeojson,572
archipel-agent-hypervisor-geolocalization,571
geonode-notification,570
odoo10-addon-base-location-geonames-import,568
geometalab-osm-pbf-file-size-estimation-service,563
odoo9-addons-oca-stock-logistics-barcode,563
geomagpy,561
gisrep,558
2gis,558
interlegis-portalmodelo-policy,557
geojsoncontour,554
jupyterlab-geojson,552
arcgis-rest-query,551
geobrickscommon,551
geobricksrastercorrelation,551
ipgeobase-importer,549
service-registry-cli,537
planegeometry,528
proso-geography-model,526
gispython,526
tgapp-registration,523
hexgridgeo-py,522
geodaisy,522
qgis2to3,519
django-fagungis,515
odoo8-addon-website-event-register-free,512
collective-geo-leaflet,512
geobricksdistribution,505
crosscompute-geotable,499
geosoft,499
ziggeo,497
python-geotiepoints,493
autowsgiserver,492
geontology,488
openregister,486
eralegis,482
ckanext-geoview,474
expresspigeon,465
collective-geo-openlayers,464
django-simple-geo,462
docker-registry-core,461
collective-geo-kml,459
geodex,459
django-geoip2-extras,457
geoid,456
gispy,452
odoo8-addons-oca-stock-logistics-barcode,450
osgiservicebridge,450
gists-cli,445
twittergeopics,444
pygeoj,443
collective-geo-geographer,438
django-registration-gv,435
odoo11-addons-oca-stock-logistics-workflow,434
django-registration-rest-framework,434
spatialite,432
geopyspark,430
geobricksdeployment,429
pgeo,428
collective-emailconfirmationregistration,426
collective-geo-settings,425
random-geometry-points,423
mappyfile-geojson,421
geo-squizzy,418
georich,417
georaster,414
pyspatiotemporalgeom,412
django-providerregistry,412
django-email-registration,410
geobricksgisraster,409
geometalab-drf-utm-zone-info,408
collective-geolocationbehavior,408
spatialde,407
datapackage-registry,406
collective-geo-contentlocations,405
geonameszip,404
kagiso-sitemap,404
micropython-redis-geo,404
plone-formwidget-geolocation,404
gist,403
gridgeo,401
geometryio,394
python-geoip-yplan,393
geonode-elasticsearch-app,392
python-geosupport,389
sk-geojsondb-client,388
geographica-longitude-async,384
cairn-geographics,384
geobricksrestengine,381
gisht,380
odoo10-addon-l10n-it-vat-registries,378
george,377
docker-registry-driver-fds,377
fauxgeo,375
geokey-export,371
cubicweb-registration,369
geobuf,366
geobricksproj4toepsg,365
django-geojson-tiles,364
interlegis-portalmodelo-theme,364
kagiso-search,363
gistey,362
collective-geotransform,360
registrar,359
geocoding,358
ftw-geo,351
docker-registry,348
collective-geo-faceted,347
pythongists,345
odoo8-addon-geoengine-base-geolocalize,344
psycopg-postgis,342
django-pyodbc-gis,342
odoo8-addon-geoengine-partner,340
django-geocode,340
gistapi,338
pygeotools,337
coop-geo,337
django-gift-registry,335
lineage-registry,335
docker-registry-util,333
geobricksspatialquery,332
getgist,331
logist,327
census-pgeoloader,326
odoo9-addons-oca-geospatial,326
ol-geoip,325
hanyang-registration,325
registration,323
geoplot,323
django-osgeo-importer-client,322
geo-validator,322
django-wsgiserver,320
geojsonio,319
odoo8-addons-oca-stock-logistics-reporting,317
django-geoipdb-loader,315
geomepy,314
tsgeom,313
python-geoip-python3,312
geohash-hilbert,310
odoo8-addon-geoengine-sale,310
surgeo,307
odoo10-addons-oca-stock-logistics-reporting,305
gitlab-registry-cleanup,305
geodesiclinestogis,300
interlegis-portalmodelo-pl,300
geo-code,299
geonames,298
py-i2c-register,298
odoo10-addons-oca-geospatial,297
geosample,296
datapackage-pipelines-sourcespec-registry,294
tgext-geo,293
odoo9-addons-oca-stock-logistics-reporting,293
spatialiteintrospect,293
agilegeo,293
kagiso-wagtail-slack,290
geoshoplib,290
django-geopostcodes,288
geoselect,287
nagisa,285
django-registration-defaults,284
photos2geojson,283
geocodertools,281
cubicweb-postgis,279
airwing-geoinfo,279
geoffrey-filecontent,278
cpc-geogrids,276
geo2d,276
incuna-pigeon,276
geocsvlib,275
django-yandex-cash-register,275
docker-registry-driver-cassandra,274
geoformalchemy,274
django-pigeon,272
geoip-lastlog,271
wsgisvc,271
service-registry,269
django-osgeo-importer,268
pgeomodis,267
pyspatial,267
geocommit,266
django-os-geocoder,265
geoshape-geonode,264
geobricksmapclassify,263
odoo8-addon-website-event-register-free-with-sale,263
geologicaltoolbox,262
django-registration2,261
pyleargist,259
django-geoportail,259
geoql,259
geoindex,258
pivotal-geopy,257
collective-geo-bundle,256
geoffrey-pylint,253
confluent-schema-registry-client,252
django-geoip-utils,252
odoo8-addons-oca-geospatial,251
geomodelr,250
django-registrationwall,250
safe-geonode,245
python-googlegeocoder,245
geoffrey,244
geokey-epicollect,243
geodjango-tigerleaflet,242
geojsontools,241
score-geoip,240
gists,240
geopip,240
django-appregistration,238
ip2geotools,236
django-geopositionmap,235
geonum,235
jaraco-geo,233
gis,232
collective-geo-zugmap,230
collective-geo-behaviour,230
spherical-geometry,229
cxc-gis,228
geobricksgeocoding,227
geomag,227
django-munigeo,227
docker-registry-driver-elliptics,226
gistpy,224
plone-app-changeownership,224
pyramid-geoip,224
insynsregistret,224
colab-wikilegis,223
odoo8-addons-oca-stock-logistics-tracking,223
lolologist,223
twittergeo,223
