package_name,download_count
azure-mgmt-containerregistry,4528293
geopy,4435880
geographiclib,2454852
geoip2,2091568
geohash,1411838
geocoder,1221848
geopandas,988610
geomet,855485
geojson,657511
python-geohash,539676
reverse-geocoder,460939
maxminddb-geolite2,344221
geoalchemy2,292664
pygeohash,199838
pgeocode,135587
python-geoip,131913
geospark,124365
python-geoip-geolite2,124320
geohash2,119687
pygeoip,84026
pygeos,75783
python-schema-registry-client,72979
djangorestframework-gis,70841
docker-registry-client,68022
geog,61457
django-registration,44949
arcgis,39330
opengeode-core,38815
torch-geometric,37699
c2cgeoform,33887
geoip,31889
c2cgeoportal-geoportal,31203
polygon-geohasher,31116
geode-common,31113
c2cgeoportal-admin,29947
c2cgeoportal-commons,29809
itk-registration,28411
pygeodesy,28320
django-registration-redux,27787
robotframework-pageobjectlibrary,27780
pygeocodio,27482
mygeotab,25087
pygeoif,24351
geonamescache,23125
xtgeo,21194
geojsonio,17774
geos,17712
flashgeotext,17494
geolib,16873
zope-principalregistry,16811
georaptor,16754
geode-conversion,16746
mypy-boto3-servicecatalog-appregistry,16479
wsgiserver,16393
phx-class-registry,15929
ladybug-geometry,15741
geonode,15494
opengeode-io,15398
zope-vocabularyregistry,13978
pygeocoder,13762
pygeotile,13516
gis,13223
py-geohex3,13088
ip2geotools,13029
pyrogis,12872
pygeoda,12783
aws-cdk-aws-servicecatalogappregistry,12501
ladybug-geometry-polyskel,12469
geode-simplexremesh,11890
django-geoposition,11655
aegis-tools,11330
geocurrency,11251
geotext,11129
opengeode-geosciences,10858
s2geometry,10832
geojson-rewind,10734
class-registry,10588
kml2geojson,10422
opengeode-geosciencesio,10393
django-rest-registration,9769
geojson-utils,9754
spherical-geometry,9412
r53-register,9411
ipregistry,9282
pygeoj,8771
torchgeometry,8672
geoviews,8557
rio-cogeo,8477
reverse-geocode,8107
geopytool,8013
c2cgeoportal,7918
censusgeocode,7891
arcgis2geojson,7694
plone-app-registry,7611
plotly-geo,7599
cognite-geospatial-sdk,7409
django-geojson,7397
python-geoip-python3,7392
products-mimetypesregistry,7374
osgeo,7289
geomag,7242
geom3d,7151
geoh,7117
pygeodiff,7044
geomdl,7037
cloudcomponents-cdk-container-registry,6893
aio-georss-gdacs,6884
geoplot,6869
products-pluginregistry,6774
plone-registry,6766
geobuf,6682
py-geohash-any,6586
aio-geojson-geonetnz-quakes,6527
postgis,6515
mtgeo,6484
geostatspy,6312
python-registry,6257
hypothesis-geometry,6174
libgeohash,6129
geojson-client,6089
aio-geojson-geonetnz-volcano,6081
georinex,6075
geobasesdev,5953
aio-geojson-client,5899
pygeoprocessing,5841
geohash-hilbert,5762
aio-geojson-nsw-rfs-incidents,5740
gisdata,5739
georss-generic-client,5607
adafruit-circuitpython-register,5549
georss-qld-bushfire-alert-client,5422
georss-ign-sismologia-client,5419
geonode-user-messages,5380
geoserver-restconfig,5374
george,5326
georss-client,5311
mz2geohash,5266
aio-georss-client,5211
scikit-spatial,5184
geonode-avatar,5183
winregistry,5097
geolinks,5017
python-geoip-geolite2-yplan,5008
geonode-announcements,4984
geopyspark,4938
django-graphql-geojson,4919
geonode-oauth-toolkit,4877
geonode-dialogos,4831
shapely-geojson,4772
gisic,4688
geobases,4616
geoalchemy,4449
pygeogrids,4406
bioregistry,4394
django-geonode-mapstore-client,4377
geoparse,4321
products-resourceregistries,4246
nagisa,4188
geode-parameterization,4157
geonode-django-activity-stream,4067
geojson-pydantic,4016
lib-registry,3894
geoarray,3850
django-geonode-client,3802
geoserver-rest,3800
geopip,3767
geode-backgroundmesh,3752
geobases3k,3728
geonomics,3668
aristotle-metadata-registry,3660
opengeode-core-geode,3573
pvgeo,3552
geobasespypy,3400
pygeobase,3347
edc-registration,3280
geode-simplexremeshgeosciences,3270
python-geoacumen,3208
pyrsgis,3159
geosoup,3110
geoedfengine,3064
geofileops,3033
xarray-spatial,3021
opengeode,3017
geofinder,2998
georasters,2997
geosoupml,2941
uwgeodynamics,2908
osm2geojson,2837
cogeo-mosaic,2780
geometric,2775
geodata,2719
forest-gis,2711
geoglows,2610
django-terra-geocrud,2606
nd-service-registry,2554
gemgis,2513
mmmint-registration-recognition,2503
gispython,2488
tf-geometric,2484
