package_name,download_count
isogeo-export-xl,1242
django-geonames-place,1241
odoo10-addons-oca-stock-logistics-warehouse,1236
core-dashboard-registry-app,1236
geojson2fromto,1232
geodesiclinestogis,1228
geobricksrastercorrelation,1227
itk-twoprojectionregistration,1227
opengeode,1211
core-module-local-id-registry-app,1208
eralegis,1206
mlgeometry,1205
gis-metadata-parser,1202
core-module-fancy-tree-registry-app,1200
nd-service-registry,1199
spatialite,1199
core-curate-registry-app,1198
osgeo-easy,1198
core-module-status-registry-app,1191
gistat,1187
runregistry,1182
django-registration-email,1178
rgeocoder,1171
geojson-rewind,1169
dask-geomodeling,1163
fabgis,1155
capablerobot-usbregister,1154
django-socialregistration,1151
geobricksdistribution,1135
geoplotlib,1129
geonum,1127
geograpy,1124
geomagpy,1113
ip-geolocation-api,1113
odoo13-addon-base-location-geonames-import,1112
eo-learn-geometry,1112
geocube,1098
gister,1098
2gis,1092
changeo,1092
pylibgeohash,1078
geometalab-osm-pbf-file-size-estimation-service,1075
geojson2vt,1072
geometric-calibration,1067
odoo12-addon-base-location-geonames-import,1055
fgdb2postgis,1049
geosoft,1047
collective-geo-mapwidget,1044
django-geonames-api,1039
geotecha,1037
kagiso-image,1036
os-package-registry,1033
django-geo,1028
odoo11-addons-oca-stock-logistics-workflow,1024
odoo10-addons-oca-stock-logistics-workflow,1015
odoo10-addon-base-location-geonames-import,1007
django-ipgeobase,1002
arcgis-rest-query,999
geotweet,996
archipel-agent-hypervisor-geolocalization,995
geometry-designer,991
async-python-schema-registry-client,989
geobricksdeployment,988
geokey-sapelli,976
t4-geom-convert,976
sphinx-osgeocn-theme,973
bakers-registry,973
geospock-cli,972
gitlab-registry-cleanup,971
python-googlegeocoder,967
geometry,963
docker-registry-driver-joyent-manta,961
swc-registry,960
reegis,952
odoo12-addons-oca-stock-logistics-warehouse,951
odoo9-addons-oca-stock-logistics-workflow,947
django-simple-geo,947
fab-addon-geoalchemy,945
geonode-user-accounts,944
geocoding,937
geofluent,934
eo-learn-coregistration,928
kagiso-smart-404,927
aegis,926
odoo8-addon-delivery-carrier-label-postlogistics,922
geograpy3,912
django-geosource,912
expresspigeon,909
geomatics,908
pygeoroc,908
geobricksgisraster,904
django-registration-rest-framework,899
sageopt,894
marinegeotemplatebuilder,894
crosscompute-geotable,893
gis-utils,889
autowsgiserver,887
ipgeosearch,886
py-register-machine2,881
ckanext-geoview,881
extra-geom,879
geofound,878
django-pigeon,874
geoai-gdal,873
kerassurgeon,871
geobricksproj4toepsg,866
pygeoda,862
plpygis,861
pgeo,861
mz2geohash,857
geoshape,851
girder-geobrowser,850
geometric-particle-swarm-optimisation,848
mappyfile-geojson,847
webgeodyn,842
geobricksrestengine,842
spatialkappa,841
django-company-registration,838
pylm-registry,838
pluginregistry,829
qgiscommons,829
geometer,828
django-geoipdb-loader,826
pypika-gis,826
geometric,823
ipgeobase-importer,816
django-fagungis,816
fxq-geoffrey,811
acdh-histogis,810
tif2geojson,801
openregister,800
collective-geolocationbehavior,798
odoo10-addon-l10n-it-vat-registries,797
collective-geo-leaflet,796
preageofuns,792
geolibs-dator,789
ad-geo-backend,786
collective-geo-openlayers,781
fab-geoalchemy,771
odoo12-addons-oca-stock-logistics-workflow,770
ztfy-geoportal,769
figgis,769
geo-pass,767
odoo8-addons-oca-stock-logistics-warehouse,762
vggish-keras,757
raster-geometry,754
geoindex,753
twittergeopics,749
geodepy,743
choropleth-geojson,742
geoextent,737
geometalab-drf-utm-zone-info,734
spatialfriend,732
python-geosupport,730
flask-simple-geoip,722
ai-dungeon-cli,722
mkgist,721
magistral,719
django-gisserver,713
interlegis-portalmodelo-theme,709
kerrgeodesic-gw,708
flask-geoip,707
geo-validator,706
tgapp-registration,704
clusgeo,703
cairn-geographics,701
cubicweb-registration,700
odoo12-addon-base-geoengine,700
geosketch,699
jupyterlab-geojson,697
geomagindices,691
geomodels,688
ftw-geo,687
geobricksspatialquery,685
docker-registry-core,679
geograpy4,675
graphene-jwt-auth-registration,674
