package_name,download_count
geopy,243192
python-geohash,160575
geoip2,151247
geojson,77931
pygeoip,55433
geocoder,39340
geohash,24317
azure-mgmt-containerregistry,23169
geoalchemy2,21076
djangorestframework-gis,17654
django-registration-redux,17555
python-geoip-geolite2,16923
django-registration,16612
geoip,16421
python-geoip,15548
jupyter-notebook-gist,14291
pygeocoder,13121
geonode,12291
c2cgeoportal,8505
pogeo,7824
geobasesdev,7763
reverse-geocoder,7679
django-geoposition,7312
geopandas,7074
products-resourceregistries,7043
geographiclib,6769
odoo9-addon-delivery-carrier-label-postlogistics,6170
geojsonio,5974
geopython,5676
plone-app-registry,5598
geobases,5530
pygeoprocessing,5342
nd-service-registry,5111
odoo8-addon-delivery-carrier-label-postlogistics,5047
products-mimetypesregistry,4698
geobases3k,4457
plone-registry,4408
geofluent,4293
cpc-geofiles,4262
odoo8-addon-geoengine-geoname-geocoder,4180
geobasespypy,4112
pylm-registry,4010
pyibex-geometry,4000
django-geojson,3982
odoo8-addon-base-geoengine,3870
odoo8-addon-base-geoengine-demo,3849
pyramid-georest,3822
python-geoip-geolite2-yplan,3683
maxminddb-geolite2,3601
docker-registry-driver-jss,3586
python-registry,3576
py-geohex3,3537
products-pluginregistry,3438
odoo8-addon-website-event-register-free,3429
kagiso-django-auth,3406
pageobject,3288
pygeoif,3286
geosample,3273
georasters,3245
eventregistry,3214
geomet,3152
svgis,3068
odoo9-addon-base-location-geonames-import,3014
gisdata,2996
odoo8-addon-geoengine-partner,2979
odoo8-addon-geoengine-base-geolocalize,2979
geonode-qgis-server,2958
wsgissi,2880
configuration-registry,2856
py-i2c-register,2811
geoalchemy,2770
odoo10-addon-base-location-geonames-import,2762
geokey,2638
django-inspectional-registration,2608
pygeodesy,2449
geonode-user-accounts,2431
django-geonode-client,2390
odoo8-addon-geoengine-sale,2374
oe-geoutils,2362
eea-geotags,2281
geo-code,2277
django-registry,2249
geonode-announcements,2240
python-omgeo,2105
django-geoexplorer,2103
pyborgeous,2092
geonamescache,2078
geonode-user-messages,2066
pageone,2062
geobaza,2048
geoio,2032
geonode-avatar,1997
django-geoip,1956
wagtailgeowidget,1956
robotframework-pageobjects,1935
zope-principalregistry,1909
gistory,1906
py-register-machine2,1901
aristotle-metadata-registry,1885
fdgis,1860
geofront,1828
geomagpy,1817
mygeotab,1814
pygeobase,1806
geolocation-python,1804
infi-registry,1794
geos,1781
geonode-extract,1774
geolinks,1772
opengeode,1763
geonode-dialogos,1737
odoo8-addon-website-event-register-free-with-sale,1712
geoparse,1688
geonode-notification,1685
geofront-cli,1626
geonode-arcrest,1625
